WEEKDAY,WEEK,MONTH,P_834,P_1159,P_1204,P_1209,P_1214,P_1219,P_1224,P_1229,P_1234,P_1239,P_1244,P_1249,P_1254,P_1259,CLOSE
4,4,9,3,-17,-22,-21,-20,-19,-19,-25,-25,-28,-31,-30,-34,-34,-1
5,4,9,-23,24,27,27,32,30,34,37,40,39,39,37,38,32,-1
6,4,9,-7,22,23,26,27,24,25,27,29,28,34,34,34,35,1
2,4,9,48,55,54,52,54,54,57,56,60,60,59,61,60,60,-1
3,5,9,-3,-16,-18,-23,-25,-21,-20,-17,-16,-16,-16,-15,-8,-10,-1
4,5,9,18,47,41,40,39,42,43,43,48,49,49,50,51,51,-1
5,1,10,34,22,21,27,22,22,22,19,19,21,21,19,21,13,1
6,1,10,-41,-16,-17,-19,-21,-18,-13,-14,-22,-17,-28,-28,-27,-25,-1
2,1,10,30,48,47,48,49,47,45,47,46,46,46,43,42,40,1
3,1,10,0,6,5,10,10,10,9,8,9,9,9,6,7,7,-1
4,1,10,40,47,49,48,47,49,50,49,50,50,56,57,59,55,1
5,2,10,20,26,26,26,26,24,22,24,24,25,25,24,25,23,1
6,2,10,23,30,31,32,30,29,27,28,29,29,29,30,31,32,0
2,2,10,25,61,61,58,60,65,67,68,68,66,66,65,65,65,-1
3,2,10,-5,-11,-13,-21,-14,-10,-15,-14,-13,-15,-18,-16,-19,-25,1
4,2,10,6,-21,-18,-19,-19,-19,-22,-24,-28,-25,-24,-21,-19,-20,-1
5,3,10,-38,-21,-22,-21,-19,-20,-20,-20,-18,-16,-13,-16,-16,-15,1
6,3,10,16,15,14,16,16,19,18,18,18,18,18,20,20,18,-1
2,3,10,17,-12,-16,-15,-12,-13,-13,-14,-19,-19,-20,-25,-26,-25,-1
3,3,10,14,31,32,32,37,38,43,44,45,47,46,46,42,37,-1
4,3,10,2,-6,-1,-3,-1,2,2,2,4,-2,1,3,3,2,-1
5,4,10,9,5,5,8,15,13,11,12,11,11,13,13,17,17,1
6,4,10,9,-13,-6,-6,-8,-6,-2,-3,-2,-3,-3,-3,-3,-2,1
2,4,10,-34,-84,-84,-84,-86,-91,-94,-97,-101,-95,-95,-91,-88,-85,1
3,4,10,-4,-4,-5,-6,-7,-8,-2,1,5,4,4,5,4,2,-1
4,4,10,-63,-100,-103,-107,-109,-107,-109,-101,-100,-99,-101,-99,-98,-97,-1
5,5,10,4,25,26,20,23,21,29,33,37,35,39,40,46,48,-1
6,5,10,-11,-51,-51,-54,-57,-57,-57,-52,-60,-62,-62,-58,-59,-56,1
2,1,11,31,28,24,21,18,14,16,17,19,16,18,16,9,8,1
3,1,11,32,61,63,63,61,62,63,61,62,59,61,54,51,48,1
4,1,11,55,109,107,105,106,103,105,104,111,110,99,99,101,100,-1
5,1,11,59,71,75,75,75,74,74,74,74,76,79,78,77,77,-1
6,1,11,-13,-1,2,2,4,4,3,5,4,4,2,3,3,3,-1
2,2,11,131,114,115,119,120,117,114,115,115,114,112,113,110,111,-1
3,2,11,-7,-3,1,-1,-9,-10,-18,-17,-22,-14,-10,-11,-6,-5,-1
4,2,11,18,31,30,29,29,32,33,30,30,34,31,30,30,26,-1
5,2,11,-14,-34,-35,-37,-38,-42,-46,-44,-40,-36,-38,-40,-34,-32,-1
6,2,11,24,35,35,36,33,37,36,36,33,35,35,35,34,33,1
2,3,11,22,30,28,29,28,29,27,21,25,23,18,20,24,25,1
3,3,11,-26,-12,-11,-11,-11,-11,-14,-11,-13,-12,-13,-15,-17,-16,-1
4,3,11,1,2,3,4,2,2,1,-5,-4,-2,-4,-9,-10,-8,-1
5,3,11,-17,-8,-5,-8,-6,-5,-3,-2,-2,-2,-2,2,3,2,1
6,3,11,-5,-9,-10,-10,-9,-8,-6,-5,-7,-5,-5,-5,-6,-6,-1
2,4,11,21,14,15,16,15,14,14,13,14,15,12,14,14,15,1
3,4,11,22,55,57,58,58,58,55,53,56,55,59,56,55,56,-1
4,4,11,-7,-5,-5,-4,-6,-6,-7,-9,-8,-8,-7,-8,-5,-5,1
2,5,11,1,-14,-15,-15,-17,-16,-14,-15,-17,-16,-15,-13,-15,-17,1
3,1,12,31,44,46,48,47,46,48,50,50,52,51,52,50,51,-1
4,1,12,-15,0,0,1,1,2,1,0,-2,1,-2,-3,-2,-4,1
5,1,12,2,7,6,3,4,4,4,4,2,2,1,1,0,-3,-1
6,1,12,10,24,23,23,23,23,23,23,23,25,24,23,22,21,1
2,1,12,-8,-10,-11,-12,-16,-14,-12,-13,-12,-13,-17,-16,-14,-15,1
3,2,12,-10,9,10,11,11,10,10,11,12,11,11,11,10,10,1
4,2,12,4,-17,-24,-17,-20,-22,-24,-27,-33,-31,-30,-30,-35,-41,1
5,2,12,-31,-12,-10,-7,-5,-4,-6,-5,-7,-7,-9,-10,-8,-11,1
6,2,12,-18,-25,-23,-25,-21,-23,-25,-21,-18,-16,-16,-16,-10,-11,1
2,2,12,25,7,7,2,5,6,5,4,8,8,7,4,8,6,-1
3,3,12,29,39,39,44,43,44,43,42,43,44,42,44,43,46,1
4,3,12,2,5,4,1,3,3,2,2,4,4,3,3,2,3,1
5,3,12,21,14,15,15,17,15,16,16,16,16,16,16,17,18,1
6,3,12,-2,-18,-20,-20,-19,-20,-23,-21,-24,-27,-24,-25,-25,-24,1
2,3,12,-37,-22,-22,-20,-19,-18,-19,-18,-15,-15,-11,-15,-11,-14,1
3,4,12,-6,-5,-5,-4,-3,-2,-2,-2,-1,1,-1,0,1,0,-1
4,4,12,13,20,21,21,22,21,21,22,22,22,22,23,22,21,-1
2,4,12,37,46,46,46,47,46,46,46,47,48,48,47,47,48,-1
3,5,12,17,-6,-9,-8,-7,-6,-6,-5,-5,-7,-7,-6,-4,-5,1
4,5,12,8,7,9,9,9,9,8,7,7,6,8,8,7,6,-1
5,5,12,-5,-1,-1,-1,-1,0,-1,-1,-1,-2,-3,-3,-3,-2,1
2,1,1,7,-78,-77,-74,-70,-67,-60,-61,-66,-63,-62,-60,-55,-55,1
3,1,1,4,16,16,15,16,16,15,15,16,16,17,18,18,20,-1
4,1,1,-20,52,51,51,55,52,49,49,50,51,56,55,53,53,-1
5,1,1,29,53,55,49,51,51,51,49,52,54,54,51,52,54,-1
